// In this file, some of the phyla of life are given with appropriate modifiers
// for different properties that life can have
// In the case of biologically incompatible AI Lifeforms, new Phyla of life 
// can also be created. The list is far from complete as most of the Phyla are either unkown or 
// not being mentioned here.  However all classifications after this from Class and lower are even more incompletely 
// mentioned. Starting from Class and lower, only links in the direct chain from SubPhylum-Class-Order-Family-Genus to the in-game Species 
//will be entries in the respective Class, Family, Genus and Species file. 
// Phyla belonging to the Archaea and Bacteria are directly linked to the Domain Life. Phyla belonging to 
// Eukarya are linked to the respective Kingdom they belong to.
// // For Now, the data consist of the Name of the Phylim, and the id of the Kingdom it belongs to.  The id of the Phyla, for use by SubPhyla and lower start with 1
// 0 in kingdom level, is reserved for phyla that don't have a kingdom. 

{ Annelida, 7}
{ Adlerbacteria, 2}
{ Aerophobota, 2}
{ Amesbacteria, 2}
{ Andersenbacteria, 2}
{ Armatimonadota, 2}
{ Aminicenantes, 2}
{ AncK6, 2}
{ Apal-E12, 2}
{ Atribacterota, 2}
{ Aquificota, 2}
{ Azambacteria, 2}
{ Azambacteria, 2}
{ Bacteroidota, 2}
{ Balneolota, 2}
{ Bdellovibrionota, 2}
{ Beckwithbacteria, 2}
{ Berkelbacteria, 2}
{ BHI80-139, 2}
{ Blackburnbacteria, 2}
{ Brennerbacteria, 2}
{ Brownbacteria, 2}
{ Buchananbacteria, 2}
{ Caldisericota, 2}
{ Calditrichota, 2}
{ Calescamantes, 2}
{ Campbellbacteria, 2}
{ Campylobacterota, 2}
{ Chlamydiota, 2}
{ Chlorobiota, 2}
{ Chloroflexota, 2}
{ Chisholmbacteria, 2}
{ Chrysiogenota, 2}
{ Cloacimonetes, 2}
{ Coatesbacteria, 2}
{ Collierbacteria, 2}
{ Colwellbacteria, 2}
{ Coprothermobacterota, 2}
{ Curtissbacteria, 2}
{ CPR-1, 2}
{ CPR-3, 2}
{ Cyanobacteria, 2}
{ Dadabacteria, 2}
{ Daviesbacteria, 2}
{ Delphibacteria, 2}
{ Delongbacteria, 2}
{ Deferribacterota, 2}
{ Deinococcota, 2}
{ Dependentiae, 2}
{ Dictyoglomota, 2}
{ Dojkabacteria, 2}
{ Dormibacteraeota, 2}
{ Doudnabacteria, 2}
{ Edwardsbacteria, 2}
{ Eisenbacteria, 2}
{ Elusimicrobiota, 2}
{ Eremiobacteraeota, 2}
{ Falkowbacteria, 2}
{ Fermentibacteria, 2}
{ Fertabacteria, 2}
{ Fibrobacterota, 2}
{ Firestonebacteria, 2}
{ Fervidibacteria, 2}
{ Fischerbacteria, 2}
{ Bacillota, 2}
{ Fraserbacteria, 2}
{ Fusobacteriota, 2}
{ Gemmatimonadota, 2}
{ Glassbacteria, 2}
{ Giovannonibacteria, 2}
{ Gottesmanbacteria, 2}
{ Gracilibacteria, 2}
{ Gribaldobacteria, 2}
{ Handelsmanbacteria, 2}
{ Harrisonbacteria, 2}
{ Howlettbacteria, 2}
{ Hugbacteria, 2}
{ Hydrogenedentes, 2}
{ Ignavibacteriota, 2}
{ Jacksonbacteria, 2}
{ Jorgensenbacteria, 2}
{ Kaiserbacteria, 2}
{ Katanobacteria, 2}
{ Kazanbacteria, 2}
{ Kerfeldbacteria, 2}
{ Kiritimatiellota, 2}
{ Komeilibacteria, 2}
{ Kryptonia, 2}
{ KSB1, 2}
{ Krumholzibacteriota, 2}
{ Kuenenbacteria, 2}
{ Lambdaproteobacteria, 2}
{ Latescibacteria, 2}
{ LCP-89, 2}
{ Lentisphaerota, 2}
{ Levybacteria, 2}
{ Lindowbacteria, 2}
{ Liptonbacteria, 2}
{ Lloydbacteria, 2}
{ Magasanikbacteria, 2}
{ Margulisbacteria, 2}
{ Marinimicrobia, 2}
{ Melainabacteria, 2}
{ Microgenomates, 2}
{ Modulibacteria, 2}
{ Moranbacteria, 2}
{ Muproteobacteria, 2}
{ Myxococcota, 2}
{ NC10, 2}
{ Nealsonbacteria, 2}
{ Niyogibacteria, 2}
{ Nitrospinota, 2}
{ Nitrospirota, 2}
{ Nomurabacteria, 2}
{ Omnitrophica, 2}
{ Pacebacteria, 2}
{ Parcubacteria, 2}
{ Parcubacteria, 2}
{ Parcubacteria, 2}
{ Parcubacteria, 2}
{ Parcubacteria, 2}
{ Parcunitrobacteria, 2}
{ PAUC34f, 2}
{ Peregrinibacteria, 2}
{ Peribacteria, 2}
{ Planctomycetota, 2}
{ Poribacteria, 2}
{ Portnoybacteria, 2}
{ Pseudomonadota, 2}
{ Raymondbacteria, 2}
{ Rhodothermota, 2}
{ Roizmanbacteria, 2}
{ Rokubacteria, 2}
{ Ryanbacteria, 2}
{ Saccharibacteria, 2}
{ Saltatorellota, 2}
{ Schekmanbacteria, 2}
{ Shapirobacteria, 2}
{ Spechtbacteria, 2}
{ Spirochaetota, 2}
{ Staskawiczbacteria, 2}
{ Sumerlaeota, 2}
{ Sungbacteria, 2}
{ Synergistota, 2}
{ TA06, 2}
{ Tagabacteria, 2}
{ Taylorbacteria, 2}
{ Tectomicrobia, 2}
{ Mycoplasmatota, 2}
{ Terrybacteria, 2}
{ Thermodesulfobacteriota, 2}
{ Thermomicrobiota, 2}
{ Thermotogota, 2}
{ Torokbacteria, 2}
{ UBP-1, 2}
{ UBP-3, 2}
{ UBP-4, 2}
{ UBP-5, 2}
{ UBP-6, 2}
{ UBP-7, 2}
{ UBP-8, 2}
{ UBP-9, 2}
{ UBP-10, 2}
{ UBP-11, 2}
{ UBP-12, 2}
{ UBP-13, 2}
{ UBP-14, 2}
{ UBP-15, 2}
{ UBP-16, 2}
{ UBP-17, 2}
{ Uhrbacteria, 2}
{ Veblenbacteria, 2}
{ Verrucomicrobiota, 2}
{ Vogelbacteria, 2}
{ Wallbacteria, 2}
{ Wildermuthbacteria, 2}
{ Wirthbacteria, 2}
{ Woesebacteria, 2}
{ Wolfebacteria, 2}
{ Woykebacteria, 2}
{ WOR-1, 2}
{ WOR-2, 2}
{ WOR-3, 2}
{ Yanofskybacteria, 2}
{ Yonathbacteria, 2}
{ Zambryskibacteria, 2}
{ ZB2, 2}
{ Zixibacteria, 2}
